1::Wed Mar 10 15:38:18 EST 2021::Logger Initialized
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: role: seller
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: port_id: 8010
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: item to buy/sell: Fish
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: peers: [I@3f8f9dd6
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: available hop count for request: 1
1::Wed Mar 10 15:38:18 EST 2021::Peer 0: Ready
22::Wed Mar 10 15:38:18 EST 2021::Peer 0: I have 1 items of 'Fish'
22::Wed Mar 10 15:38:18 EST 2021::Peer 0: Sending confirmation to 1
24::Wed Mar 10 15:38:18 EST 2021::Peer 0: I have 1 items of 'Fish'
24::Wed Mar 10 15:38:18 EST 2021::Peer 0: Sending confirmation to 2
26::Wed Mar 10 15:38:18 EST 2021::Peer 0: I have 1 items of 'Fish'
26::Wed Mar 10 15:38:18 EST 2021::Peer 0: Sending confirmation to 3
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: Sorry, I sold my item to someone else.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: Sorry, I sold my item to someone else.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
24::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:20 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
22::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
26::Wed Mar 10 15:38:21 EST 2021::Peer 0: My items are finished.
